animeTitle	Cofun Gal no Coffy Campus Life
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14995
animeDescription	The sequel to Cofun Gal no Coffy (TV), it takes place 3 year later via a college campus life comedy about 20-year-old college student Coffy, her boyfriend Nintoku-kun, her childhood friend Daniel, her love rival Dorothy, and Okehazama-sensei, who quit being a teacher and became the chief of the college mart.
animeRelated	['Cofun Gal no Coffy (TV)', 'Cofun Gal no Coffy: Cofunderella', 'Cofun Gal no Coffy Campus Life Specials', 'Cofun Gal no Coffy Campus Life: Intro']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
