animeTitle	Yawara!: Sore Yuke Koshinuke Kids!!
animeType	Movie
animeNumEpisode	1
releaseDate	1992-08-01 00:00:00
endDate	
animeNumMembers	1908
animeScore	6.28
animeUsers	599
animeRank	7308
animePopularity	9546
animeDescription	"Yawara helps a group of timid grade school kids overcome their fears and compete in a judo competition. One of the kids is Hanazono's cousin, which is how she meets them. Another is a girl who seems a whole lot like Yawara.

(Source: ANN)"
animeRelated	['Yawara!']
animeCharacters	['Inokuma, Yawara', 'Inokuma, Jigorou', 'Matsuda, Kousaku', 'Honami, Sayaka', 'Hanazono, Kaoru', 'Kazamatsuri, Shinnosuke', 'Tanaka, Koutarou', 'Suzuki, Takeyuki', 'Takai, Masaru', 'Sagara, Junji']
animeVoices	['Minaguchi, Yuko', 'Nagai, Ichiro', 'Seki, Toshihiko', 'Takamori, Yoshino', 'Sugawara, Masashi', 'Tonguu, Kyouko', 'Hayashibara, Megumi', 'Takano, Urara', 'Namikawa, Daisuke']
animeStaff	[['Tokita, Hiroko', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Inoue, Toshiki', 'Script'], ['Asaka, Morio', 'Storyboard']]
