animeTitle	b'Mahoujin Guru Guru Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	612
animeRank	
animePopularity	
animeDescription	"b'The hero Nike and magic user Kukuri learn of the ""Pickle of Happiness"", an item that will grant a wish to the one who eats it. With the help of old friends, they must beat the monsters to the Pickle and convince its guardian dragon to give it to them. \n\n(Source: ANN)'"
animeRelated	[b'Mahoujin Guruguru']
animeCharacters	[b'Kukuri', b'Nike', b'Eldol, Udberg', b'Shunamur, Jujuku', b'Gipple']
animeVoices	[b'\nOgata, Kenichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakanishi, Nobuaki\n\nDirector\n\n', b'\nKase, Masahiro\n\nAnimation Director, Character Design\n\n', b'\nChiba, Midori\n\nArt Director\n\n', b'\nSasaki, Masakatsu\n\nKey Animation\n\n']
