animeTitle	Prima Donna Mai
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.71
animeUsers	285
animeRank	
animePopularity	11158
animeDescription	"Mai and her gymnastics trainer are secretly in love with each other. Unfortunately she has a boyfriend while her teacher is married to the daughter of the school’s director. Despite all that and the fact that they are teacher and student they both give in to their desires and everything works just fine between them… Too bad the wife finds out – and she’s not happy that she lost her husband to a little girl. She persuades Mai’s boyfriend to help her, and together they carry out a plan to punish and publicly humiliate Mai… 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
