animeTitle	b'Sister Princess: Re Pure'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	2779
animeRank	
animePopularity	
animeDescription	b'After a long time, Wataru has decided to leave his family home and live on his own. The girls have also decided to split up and most of them are living separately as well. But none of them have forgotten about their brother and still stick together to meet him.\n\n(Source: AniDB)'
animeRelated	[b'Sister Princess']
animeCharacters	[b'Minakami, Wataru', b'Aria', b'Mamoru', b'Chikage', b'Sakuya', b'Karen', b'Yotsuba', b'Haruka', b'Shirayuki', b'Hinako']
animeVoices	[b'\nNojima, Kenji\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nKuwatani, Natsuko\nJapanese\n', b'\nHanba, Tomoe\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nHyo-sei\nJapanese\n', b'\nChiba, Chiemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDaichi, Akitarou\n\nEpisode Director, Storyboard\n\n', b'\nSatou, Shouichi\n\nScript\n\n', b'\nHorie, Yui\n\nTheme Song Performance\n\n', b'\nOkazaki, Ritsuko\n\nTheme Song Performance\n\n']
