animeTitle	Osake wa Fuufu ni Natte kara
animeType	TV
animeNumEpisode	13
releaseDate	2017-10-04 00:00:00
endDate	2017-12-27 00:00:00
animeNumMembers	171004
animeScore	6.96
animeUsers	80017
animeRank	3947
animePopularity	1029
animeDescription	"Chisato Mizusawa is a calm and collected assistant office manager who apparently dislikes drinking alcohol. But she actually likes it and has a secret side to her that emerges only when drunk: her cute persona, which she only reveals to her husband, the bartender Sora. Each day when Chisato comes home, Sora takes care of his beloved wife, providing her with a good meal and a fresh drink. These drinks include Plum Splet, Irish Coffee, Orange Breeze, and many more tasty concoctions that she eagerly gulps down. But as much as she likes alcohol, she loves her kindhearted husband more. Together, they share a life that is filled with happiness—and the more-than-occasional cocktail.

[Written by MAL Rewrite]"
animeRelated	['Osake wa Fuufu ni Natte kara', 'Osake wa Fuufu ni Natte kara: Yuzu Atsukan']
animeCharacters	['Mizusawa, Chisato', 'Mizusawa, Sora', 'Koharu, Sakurai', 'Shiraishi, Masaki', 'Shiraishi, Yui', 'Manager']
animeVoices	['Kitamura, Eri', 'Ichiki, Mitsuhiro', 'Nakada, Arisa', 'Akabane, Kenji', 'Asai, Ayaka', 'Ishizuka, Unshou']
animeStaff	[['Hirasawa, Hisayoshi', 'Director, Sound Director'], ['Tachibana, Saori', 'Director'], ['WORDS in STEREO', 'Script, Series Composition'], ['Cellchrome', 'Theme Song Performance']]
