animeTitle	UFO Senshi Dai Apolon 2
animeType	TV
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13392
animeDescription	Second season of UFO Senshi Dai Apolon.
animeRelated	['UFO Senshi Dai Apolon']
animeCharacters	['Goro', 'Miki', 'Matsuo', 'Takeshi', 'Gyaranik', 'Rabi', 'Hideki']
animeVoices	['Yamashita, Keisuke', 'Komiya, Kazue', 'Chijimatsu, Sachiko', 'Murayama, Akira', 'Iizuka, Shouzou', 'Chiba, Junji', 'Komiyama, Kiyoshi']
animeStaff	[['Takagaki, Kouzou', 'Episode Director'], ['Yamamoto, Masayuki', 'Theme Song Composition, Theme Song Lyrics'], ['Shimon, Masato', 'Theme Song Performance'], ['Takeichi, Masahisa', 'Theme Song Arrangement, Music']]
