animeTitle	Gakuen Senki Muryou
animeType	TV
animeNumEpisode	26
releaseDate	2001-05-08 00:00:00
endDate	2001-12-04 00:00:00
animeNumMembers	
animeScore	7.03
animeUsers	1511
animeRank	
animePopularity	6393
animeDescription	"The world is about to be turned upside down for Hajime Murata. First, a strange alien ship appears over Tokyo, and then a mysterious new transfer student arrives at his school wearing an ancient school uniform. His name is Muryou, and with his arrival, everything begins to change. Students suddenly begin to display amazing psychic powers, a giant white guardian keeps appearing in the skies over the city to fight off gigantic alien creatures, and men with threatening weapons are haunting the shadows of the school grounds.

With all these strange events taking place around him, Hajime is determined to figure out the truth about a world he thought he already knew. This is his story: a tale of aliens and humans, starships and spies, and friends who are often more than they appear. Join Hajime as he uncovers the mystery of Shingu: Secret of the Stellar Wars!

(Source: RightStuf)"
animeRelated	['Gakuen Senki Muryou Recap', 'Gakuen Senki Muryou: Yorinuki Muryou-san Girls Selection']
animeCharacters	['Subaru, Muryou', 'Moriyama, Nayuta', 'Murata, Hajime', 'Moriguchi, Kyouchi', 'Murata, Futaba', 'Mineo, Harumi']
animeVoices	['Miyazaki, Issei', 'Park, Romi', 'Nojima, Kenji', 'Sugita, Tomokazu', 'Kugimiya, Rie', 'Asano, Masumi']
animeStaff	[['Satou, Tatsuo', 'Director, Script, Storyboard, Original Creator'], ['Mima, Masafumi', 'Sound Director'], ['Sokuza, Makoto', 'Episode Director'], ['Egami, Kiyoshi', 'Episode Director, Storyboard']]
