animeTitle	Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	31755
animeRank	
animePopularity	2234
animeDescription	"Continuing after the Level Upper incident, another phenomenon torments Misaka. A phenomenon called ""Someone's Watching,"" its effect feels like the electricity in one's body flow backwards. With the help of her friends, Misaka fights against the unknown enemy."
animeRelated	['Toaru Kagaku no Railgun']
animeCharacters	['Misaka, Mikoto', 'Shirai, Kuroko', 'Saten, Ruiko', 'Uiharu, Kazari', 'Kamijou, Touma', 'Kongou, Mitsuko', 'Konori, Mii', 'Wannai, Kinuho', 'Awatsuki, Maaya', 'Jounan, Asako']
animeVoices	['Satou, Rina', 'Arai, Satomi', 'Itou, Kanae', 'Toyosaki, Aki', 'Abe, Atsushi', 'Kotobuki, Minako', 'Ueda, Kana', 'Tomatsu, Haruka', 'Nanjou, Yoshino', 'Ono, Fuyuka']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Nakayama, Nobuhiro', 'Producer'], ['Nagai, Tatsuyuki', 'Director'], ['Aketagawa, Jin', 'Sound Director']]
