animeTitle	Taiman Blues: Shimizu Naoto-hen
animeType	OVA
animeNumEpisode	3
releaseDate	1987-11-25 00:00:00
endDate	1989-05-25 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13202
animeDescription	"A tale of rivalry between two gangs, MND and Laku, and the personal vendetta between MND's Naoto and Laku's Yota.

(Source: The Anime Encyclopedia)"
animeRelated	['Taiman Blues: Ladies-hen - Mayumi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
