animeTitle	Panyo Panyo Di Gi Charat
animeType	TV
animeNumEpisode	48
releaseDate	2002-01-05 00:00:00
endDate	2003-04-03 00:00:00
animeNumMembers	
animeScore	6.68
animeUsers	1488
animeRank	
animePopularity	7051
animeDescription	"Deijiko is the princess of the planet of Di Gi Charat. After reading a book, she is influenced to want to help everyone be happy. She leaves the castle and pretends to be a normal girl. She tries to make everyone happy by taking various jobs around the town and thereby making all sorts of new friends and inevitably, enemies.

(Source: ANN)"
animeRelated	['Di Gi Charat']
animeCharacters	['Di Gi Charat', 'Petit Charat', 'Gema', 'Rinna Charat', 'Charat, MeeK', 'Analogue III, Pyocola', 'Mermaid Princess', 'Deji Devil']
animeVoices	['Sanada, Asami', 'Sawashiro, Miyuki', 'Kamei, Yoshiko', 'Enomoto, Atsuko', 'Kozakura, Etsuko', 'Hayashibara, Megumi', 'Saitou, Chiwa', 'Ueda, Yuuji']
animeStaff	[['Takayanagi, Shigehito', 'Director, Episode Director, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Araki, Tetsurou', 'Episode Director, Storyboard'], ['Kon, Chiaki', 'Episode Director, Storyboard']]
