animeTitle	Fusha no Sha
animeType	Movie
animeNumEpisode	1
releaseDate	1988-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	391
animeRank	
animePopularity	11444
animeDescription	Ji Chang is an excellent archer that strives to be the best in the world. He looks for a certain man that is capable of shooting a leaf from a distance. He decides to make this man his master. He visits his master occasionally over the years for training. He eventually masters the techniques of the bow and decides to head out for the mountains in search of an old man with supernatural abilities. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
