animeTitle	Red Garden: Dead Girls
animeType	OVA
animeNumEpisode	1
releaseDate	2007-08-08 00:00:00
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	3227
animeRank	
animePopularity	5914
animeDescription	In the future (subsequent to the events of the television series) Kate, Rose, Rachel and Claire divide their immortal lives between study and vigilantism. Their past link to the red garden on Roosevelt Island comes back to haunt them after mysterious transfer students Louise and Edgar seek out their friendship.
animeRelated	['Red Garden']
animeCharacters	['Ashley, Kate', 'Forrest, Claire', 'Benning, Rachel', 'Sheedy, Rose', 'Edgar', 'Lula', 'Luke', 'Sinclair, Paula', 'Louise', 'Steiner, Claude']
animeVoices	['Tomisaka, Akira', 'Sawashiro, Miyuki', 'Shintani, Ryouko', 'Tsuji, Ayumi', 'Koyasu, Takehito', 'Masuda, Yuuki', 'Fukuen, Misato']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Matsuo, Kou', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Foster, Steven', 'Script, ADR Director']]
