animeTitle	b'Chousoku Spinner'
animeType	b'TV'
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	2109
animeRank	
animePopularity	
animeDescription	"b""Despite being talented in various sports, Shunichi Domoto is not passionate about any of them in particular\xe2\x80\x94that is, until he discovers the world of competitive yo-yo.\n\nIt all begins when Shunichi's friend, Beso Kimura, loses his yo-yo in a duel against the school bully, Benkei Musashimaru. Albeit inexperienced, Shunichi eventually agrees to help Beso retrieve his yo-yo. After practicing for three days, Shunichi challenges and unexpectedly defeats the relatively skilled Benkei. \n\nShunichi's win instills the belief that the yo-yo is easy to master, and that he is ultimately able to easily master anything he puts his mind to. However, after losing to the exceptionally gifted yo-yo player Seito Hojoin, Shinichi finds his ego shattered. As the humiliating loss ignites a spark in Shunichi, he decides to surpass Seito in Japan's national Yo-yo Championship!\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Chousoku Spinner']
animeCharacters	[b'Hojoin, Seito', b'Domoto, Shunichi', b'Yumemiya, Rian', b'Kogure, Chuta', b'Musashimaru, Benkei', b'Kimura, Beso']
animeVoices	[b'\nUeda, Yuuji\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nChiba, Chiemi\nJapanese\n', b'\nHigashi, Saori\nJapanese\n', b'\nNoda, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector, Episode Director, Storyboard\n\n', b'\nTanaka, Hideyuki\n\nSound Director\n\n', b'\nDokite, Tsukasa\n\nEpisode Director\n\n', b'\nInoue, Osamu\n\nEpisode Director, Storyboard\n\n']
