animeTitle	b'Ryokan Shirasagi'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	896
animeRank	
animePopularity	
animeDescription	"b""Yuriko is running her dead husband's inn, which isn't doing too good financially, so she needs to provide customers with a special kind of service. One day, an injured man, who can't remember who he is, ends up staying in the inn. Although Yuriko, who develops feelings for him, tries to keep her extra work duties a secret, he finds out and actually helps her... helps her in becoming much better in providing the service that is. \n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Kenji', b'Shiratori, Yuriko', b'Akisawa, Hibari', b'Misaki, Harumi', b'Shiratori, Fuyuka']
animeVoices	[b'\nHyo-sei\nJapanese\n', b'\nHitomi\nJapanese\n', b'\nYoneshima, Nozomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n']
