animeTitle	Mini Hama: Minimum Hamatora
animeType	TV
animeNumEpisode	8
releaseDate	2015-11-01 00:00:00
endDate	2015-12-21 00:00:00
animeNumMembers	4241
animeScore	6.29
animeUsers	889
animeRank	7204
animePopularity	7486
animeDescription	Super deformed Hamatora.
animeRelated	['Hamatora The Animation', 'Mini Hama: Minimum Hamatora Movies']
animeCharacters	['Nice', 'Art', 'Hajime', 'Birthday', 'Murasaki', 'Ratio']
animeVoices	['Oosaka, Ryouta', 'Kamiya, Hiroshi', 'Katou, Emiri', 'Fukuyama, Jun', 'Hatano, Wataru', 'Nakamura, Yuuichi']
animeStaff	[['Higa, Yuuji', 'Producer'], ['Kishi, Seiji', 'Director'], ['Andou, Masaomi', 'Director'], ['Nakanishi, Yasuhiro', 'Script, Series Composition']]
