animeTitle	Marine Dreamin'
animeType	Music
animeNumEpisode	1
releaseDate	2015-04-24 00:00:00
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	331
animeRank	
animePopularity	12549
animeDescription	"A music video for the song ""Marine Dreamin'"", a part of the iMarine project which stars Umi Monogatari's Marin."
animeRelated	"['Dive to Blue', ""Marine Bloomin'"", 'Deep Blue Town e Oide yo', 'Deep Blue Song', 'Sunny Days!', 'Sea Breeze', 'Deep Blue Song (September 2017)', ""Marine Dreamin' (2017)""]"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
