animeTitle	Jigoku Shoujo
animeType	TV
animeNumEpisode	26
releaseDate	2005-10-05 00:00:00
endDate	2006-04-05 00:00:00
animeNumMembers	
animeScore	7.63
animeUsers	111012
animeRank	
animePopularity	547
animeDescription	"Have you heard of Hell Correspondence? Those with a powerful grudge may only access this mysterious website at midnight, allowing them to enter anyone's name and have that person be ferried straight to hell. Ai Enma, the Hell Girl, will not judge whether or not the chosen target deserves punishment; she will merely exact revenge on them for you. Not much is known about this young girl other than that she swiftly carries out her tasks with the help of three straw dolls. There is just one catch, however—as payment for carrying out such a request, the user must condemn themselves to an afterlife in hell.

[Written by MAL Rewrite]"
animeRelated	['Jigoku Shoujo', 'Shin Jigoku Shoujo', 'Jigoku Shoujo Futakomori', 'Jigoku Shoujo Recap']
animeCharacters	"['Enma, Ai', 'Ichimoku, Ren', 'Hone Onna', 'Wanyuudou', 'Shibata, Tsugumi', 'Shibata, Hajime', ""De L'Enfer, Gilles"", 'Sakuragi, Kanako', 'Shibuya, Minami', 'Takamura, Ryoko']"
animeVoices	['Noto, Mamiko', 'Matsukaze, Masaya', 'Honda, Takako', 'Sugou, Takayuki', 'Mizuki, Nana', 'Ueda, Yuuji', 'Fukuyama, Jun', 'Sawashiro, Miyuki', 'Ishige, Sawa', 'Shimizu, Ai']
animeStaff	[['Cook, Justin', 'Producer'], ['Oomori, Takahiro', 'Director, Episode Director, Storyboard'], ['Kosaka, Harume', 'Episode Director'], ['Tatum, John Michael', 'Script']]
