animeTitle	Hamster Sam
animeType	TV
animeNumEpisode	4
releaseDate	1998-12-07 00:00:00
endDate	1999-07-19 00:00:00
animeNumMembers	168
animeScore	
animeUsers	
animeRank	15903
animePopularity	16628
animeDescription	"Stop-motion animation using a hamster puppet. The anime usually has Sam singing, sometimes strumming his guitar, or dancing.

Note: It is unrelated to Hamster S.A.M. the US children's book series."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
