animeTitle	Mini Skirt Gakuen
animeType	OVA
animeNumEpisode	1
releaseDate	2001-12-21 00:00:00
endDate	
animeNumMembers	
animeScore	4.43
animeUsers	509
animeRank	
animePopularity	10279
animeDescription	"Under the uniforms of this girls volleyball team is ripe juicy fruit ready to be picked, and they're ready to get into the action. Now that's what we call team sports. Watch as these little volleyball sluts bring some of the football players back to the locker room with them and clothes start falling off. They should have known what would happen if they bring boys into the girls' locker room! 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
