animeTitle	Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season
animeType	TV
animeNumEpisode	25
releaseDate	2020-10-07 00:00:00
endDate	2021-09-29 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11458
animeDescription	Third season of Seizei Ganbare! Mahou Shoujo Kurumi.
animeRelated	['Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season']
animeCharacters	['Takahashi, Isamu', 'Suzuki, Kiyoshi', 'Azuchimomoyama, Kurumi', 'Satou, Shigeru', 'Pirate', 'Baron', 'Aokiyama, Shinji']
animeVoices	['Hatano, Wataru', 'Hayashi, Yuu', 'Kubo, Yurika', 'Terashima, Takuma', 'Morikubo, Shoutarou', 'Suzumura, Kenichi', 'Ono, Daisuke']
animeStaff	[['Matsumoto, Keisuke', 'Director, Script'], ['Mia REGINA', 'Theme Song Performance'], ['Uekusa, Wataru', 'Character Design']]
