animeTitle	Ro-Kyu-Bu!
animeType	TV
animeNumEpisode	12
releaseDate	2011-07-01 00:00:00
endDate	2011-09-23 00:00:00
animeNumMembers	75059
animeScore	6.81
animeUsers	31652
animeRank	4564
animePopularity	1953
animeDescription	"Subaru Hasegawa has the ambition to become one of the best basketball superstars of all time. However, this comes to an apparent halt when his school's basketball team ceases activities for a year. Shocked by the news, he decides not to involve himself in basketball anymore.

One day, his aunt Mihoshi Takamura invites him to coach the Keishin Academy girls’ basketball team on how to play the sport, and he reluctantly agrees. He meets sixth-graders Tomoka Minato, Maho Misawa, Airi Kashii, Hinata Hakamada and Saki Nagatsuki, and begins training them in the sport with one goal: to defeat all strong opponents along the way.

Ro-Kyu-Bu! follows the effort of five elementary girls and their coach as they their cute style of playing basketball.

[Written by MAL Rewrite]"
animeRelated	['Ro-Kyu-Bu!', 'Ro-Kyu-Bu!: Tomoka no Ichigo Sundae']
animeCharacters	['Minato, Tomoka', 'Hakamada, Hinata', 'Misawa, Maho', 'Kashii, Airi', 'Nagatsuka, Saki', 'Hasegawa, Subaru', 'Takamura, Mihoshi', 'Ogiyama, Aoi', 'Takenaka, Natsuhi', 'Mishouji, Tae']
animeVoices	['Hanazawa, Kana', 'Ogura, Yui', 'Iguchi, Yuka', 'Hidaka, Rina', 'Hikasa, Youko', 'Kaji, Yuki', 'Itou, Shizuka', 'Itou, Kanae', 'Kotobuki, Minako', 'Kayano, Ai']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Satomi, Tetsurou', 'Producer'], ['Matsuura, Hiroaki', 'Producer'], ['Kusakawa, Keizou', 'Director, Storyboard']]
