animeTitle	Charlotte: Tsuyoimono-tachi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.48
animeUsers	84533
animeRank	
animePopularity	1186
animeDescription	"Takehito Kumagami's clairvoyance leads his group of friends to another child with supernatural powers: Iori Sekiguchi, a mind reader. However, as they try to approach her, they realize her power makes her nearly impossible to pin down. Having been chosen by the club to handle this case, Nao Tomori and Yuu Otosaka must find a way to get around the child's unique ability before it is too late.

[Written by MAL Rewrite]"
animeRelated	['Charlotte']
animeCharacters	['Tomori, Nao', 'Otosaka, Yuu', 'Sekiguchi, Iori', 'Otosaka, Ayumi', 'Takajou, Joujirou', 'Kurobane, Yusa', 'Kumagami, Takehito', 'Honoka']
animeVoices	['Sakura, Ayane', 'Uchiyama, Kouki', 'Minase, Inori', 'Asakura, Momo', 'Mizushima, Takahiro', 'Uchida, Maaya', 'Takemoto, Eiji', 'Lynn']
animeStaff	[['Asai, Yoshiyuki', 'Director'], ['Maeda, Jun', 'Theme Song Lyrics, Music'], ['Lia', 'Theme Song Performance'], ['Tada, Aoi', 'Theme Song Performance']]
