animeTitle	b'Uchuu Patrol Hopper'
animeType	b'TV'
animeNumEpisode	44
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'After an alien attack, a boy named Jun is rescued by aliens who give him super powers and recruit him into the Space Patrol. The series was renamed Patrol Hopper Uchukko Jun for the final 18 episodes. \n\n(Source: AniDB) '
animeRelated	[]
animeCharacters	[b'Donki Taiin']
animeVoices	[b'\nChikaishi, Shinsuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMori, Yasuji\n\nAnimation Director, Animation Check\n\n', b'\nKondou, Eisuke\n\nIn-Between Animation\n\n', b'\nKumakawa, Masao\n\nAnimation Director\n\n']
