animeTitle	.hack//Versus: The Thanatos Report
animeType	Special
animeNumEpisode	1
releaseDate	2012-06-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	2270
animeRank	
animePopularity	6199
animeDescription	"Bundled along with a free game, .hack//Versus, on the .hack//Sekai no Mukou ni Blu-ray disc, is a special called ""The Thanatos Report"". This special connects the events of the game with the events of the movie and ""reveal the last truth"". The protagonist of the special is David; a character who also appears in the main movie. The special takes place in both 2024 (the year in which the movie takes place) and 2025 (the year in which the game .hack//Versus takes place). 

(Source: AnimeReviews.co) "
animeRelated	['.hack//The Movie: Sekai no Mukou ni']
animeCharacters	['Steinberg, David', 'Shamrock', 'Tanaka, Kakeru']
animeVoices	[]
animeStaff	[]
