animeTitle	Taiho Shichau zo (TV)
animeType	TV
animeNumEpisode	47
releaseDate	1996-10-05 00:00:00
endDate	1997-09-27 00:00:00
animeNumMembers	25277
animeScore	7.53
animeUsers	7366
animeRank	1519
animePopularity	3579
animeDescription	"Tokyo Highway Patrolwomen Natsumi and Miyuki get off to a bad start when Miyuki busts Natsumi for reckless moped driving on her way to work. Things get worse when they find out they're going to be partners!

A continuation of the OVA series, the adventures of Tokyo policewomen Natsumi and Miyuki continue in the You're Under Arrest TV series. It's back to Bokuto Precinct, where demented felons and bashful (but hunky) policemen abound, and where the cutest girl in the office... isn't a girl.

(Source: Rightstuf)"
animeRelated	['Taiho Shichau zo', 'Taiho Shichau zo in America', 'Taiho Shichau zo Special', 'Taiho Shichau zo The Movie', 'Taiho Shichau zo: Second Season', 'Taiho Shichau zo: Full Throttle', 'Taiho Shichau zo: Nagisa no Koutsuu Yuudou']
animeCharacters	['Tsujimoto, Natsumi', 'Kobayakawa, Miyuki', 'Nikaidou, Yoriko', 'Aoi, Futaba', 'Tokairin, Shoji', 'Nakajima, Ken', 'Kachou', 'Obasan, Scooter', 'Kinoshita, Kaoruko', 'Saga, Saori']
animeVoices	['Tamagawa, Sakiko', 'Hiramatsu, Akiko', 'Kozakura, Etsuko', 'Matsumoto, Rica', 'Seki, Tomokazu', 'Shimada, Bin', 'Masamune, Issei', 'Kujira', 'Sakakibara, Yoshiko', 'Tange, Sakura']
animeStaff	[['Nishimura, Junji', 'Co-Director'], ['Furuhashi, Kazuhiro', 'Director'], ['Sokuza, Makoto', 'Episode Director'], ['Egami, Kiyoshi', 'Episode Director, Storyboard']]
