animeTitle	Makyou Gaiden Le Deus
animeType	OVA
animeNumEpisode	1
releaseDate	1987-12-01 00:00:00
endDate	
animeNumMembers	1707
animeScore	5.5
animeUsers	690
animeRank	10377
animePopularity	9857
animeDescription	In a post-apocalyptic world, the treasure hunter Riot and his pretty sidekicks are searching for Eyes of Zalem, which they hope will guide them to Rido, the treasure of a long-lost Quall civilization. A limitless energy source, the Rido has the power to even restore life; but unfortunately for Riot, the evil Demsters are after it too. (from ANN)
animeRelated	[]
animeCharacters	['Riot', 'Kaiser']
animeVoices	['Yao, Kazuki', 'Wakamoto, Norio']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Kitakubo, Hiroyuki', 'Script'], ['Sonoda, Hideki', 'Script']]
