animeTitle	Hanada Shounen-shi
animeType	TV
animeNumEpisode	25
releaseDate	2002-10-02 00:00:00
endDate	2003-03-26 00:00:00
animeNumMembers	12946
animeScore	8.0
animeUsers	3506
animeRank	551
animePopularity	4763
animeDescription	"Ichiro Hanada is a hyperactive little boy who lives with his parents, sister, and grandfather in a rural town. He is always up to some kind of mischief, often teasing his sister or making rude comments to others. Consequently, his mother constantly scolds him, and even the neighbours express disturbance from time to time on how rowdy he can be.

One day, after pulling a terrible prank, Ichiro sprints onto the streets as his mother chases him. He steals a nearby bicycle and takes on a dangerous route, eventually being hit by a truck. Miraculously, he survives the crash, requiring nine stitches to the back of his head and balding for the surgery. However, the near-death experience gains him the ability to see ghosts—the last thing he needs in his life.

Since Ichiro is the only one who can communicate with them, several ghosts of people who have recently died come to him, seeking help to fulfill their last wishes before achieving enlightenment. Each adventure with a ghost leaves the young and curious boy with a different lesson that gradually makes him wiser.

[Written by MAL Rewrite]"
animeRelated	['Hanada Shounen-shi']
animeCharacters	"['Hanada, Ichiro', 'Jiro', 'Rinko', 'Natsu', 'Hanada, Tokujirou', ""Haruhiko's Mother"", 'Hanada, Tokuko', 'Aota, Seiji', 'Tawarazaki, Haruhiko', 'Ichimura, Father']"
animeVoices	['Kumai, Motoko', 'Matsumoto, Rica', 'Kanai, Mika', 'Yukino, Satsuki', 'Nozawa, Nachi', 'Ono, Miyuki', 'Takeuchi, Junko', 'Koyama, Rikiya', 'Yamaguchi, Kappei', 'Tatsuta, Naoki']
animeStaff	[['Tamura, Manabu', 'Producer'], ['Kojima, Masayuki', 'Director'], ['Masuda, Toshihiko', 'Episode Director, Storyboard, Key Animation'], ['Takayashiki, Hideo', 'Script']]
