animeTitle	Okome Kakurenbo
animeType	Music
animeNumEpisode	1
releaseDate	2017-10-02 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17535
animeDescription	A song about rice. It's got a great taste, sometimes when you blow your nose a random grain comes out, other times you might step on a stray one dried up on the ground and for something so small it sure hurts a lot! The food is so much more familiar than you think it is.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
