animeTitle	Luigi's Toy Adventure
animeType	ONA
animeNumEpisode	1
releaseDate	2014-12-02 00:00:00
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	995
animeRank	
animePopularity	9844
animeDescription	A stop-motion short from Bandai, promoting the line of Super Mario Figuarts.
animeRelated	['Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!', 'Amada Anime Series: Super Mario Brothers']
animeCharacters	['Luigi', 'Mario', 'Goomba']
animeVoices	[]
animeStaff	[]
