animeTitle	Cardfight!! Vanguard: Shinemon-hen
animeType	TV
animeNumEpisode	31
releaseDate	2019-08-24 00:00:00
endDate	2020-03-28 00:00:00
animeNumMembers	3159
animeScore	6.6
animeUsers	1102
animeRank	5583
animePopularity	8262
animeDescription	"This is the story of ""Shinemon Nitta"", the future manager of Card Capital.

10 years before the reunion of Aichi Sendou and Toshiki Kai, the card shop run by the Tokura family ""Card Capital"" was going out of business. Then came the attempt to take over the store by Esuka Hibino, the owner of a major card shop.

In order to protect Card Capital, Shinemon Nitta stands up as the ""Self-proclaimed Manager!""

(Source: Cardfight!! Vanguard Wiki)"
animeRelated	['Cardfight!! Vanguard: Zoku Koukousei-hen']
animeCharacters	['Tokura, Misaki', 'Nitta, Shin', 'Tachibana, Tatsuya', 'Shindou, Mikuru', 'Shindou, Chrono']
animeVoices	['Maeda, Seiji']
animeStaff	[['Aikawa, Shou', 'Script'], ['Akahoshi, Masanao', 'Script'], ['Terasawa, Kazuaki', 'Storyboard'], ['Aiba, Aina', 'Theme Song Performance']]
