animeTitle	Chibi☆Devi!
animeType	TV
animeNumEpisode	75
releaseDate	2011-10-10 00:00:00
endDate	2014-02-17 00:00:00
animeNumMembers	
animeScore	6.76
animeUsers	4203
animeRank	
animePopularity	4667
animeDescription	"Sawada Honoka is a 14-year-old girl who is very timid. She easily gets bullied by other classmates. Honoka is a non-believer in God, Angels, and Devils. Though one day, a devil baby was dropped into her room while she was sleeping. What will Honoka believe in now?

(Source: PocketScans)"
animeRelated	['Chibi☆Devi!']
animeCharacters	['Mao', 'Sugisaki, Shin', 'Sawada, Honoka', 'Rai', 'Takayama, Natsuki', 'Nakagawa, Shiori', 'Ryuu', 'Obake no Onee-chan', 'Akuma no Biyoushi-san', 'Mitsuru-sensei']
animeVoices	['Shitaya, Noriko', 'Yoshino, Hiroyuki', 'Iguchi, Yuka', 'Takahashi, Mikako', 'Yamaguchi, Rie', 'Nishi, Asuka', 'Fujimura, Ayumi', 'Ise, Mariya', 'Hamazoe, Shinya']
animeStaff	[['Suzuki, Takeyuki', 'Producer'], ['Nakagawa, Koutarou', 'Music'], ['Shinozuka, Hiromu', 'Original Creator'], ['Hagiwara, Shouko', 'Character Design']]
