animeTitle	b'Wake Up, Girls! Shin Shou'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	3251
animeRank	
animePopularity	
animeDescription	"b'""Wake Up, Girls!"" is the story of growth and friendship of seven girls living in Sendai, Miyagi who form the idol group ""Wake Up, Girls! (WUG)"" and work together to become top idols.\n\nOperating under a small production company in Sendai known as ""Green Leaves Entertainment,"" WUG overcame countless obstacles to beat national idol group ""I-1 club"" at the Idol Festival and win the event. They had suddenly become top idols... but with an idol recession going on, things weren\'t so easy. The days of steady and honest idol work continued for the girls.\n\nMeanwhile, Sendai-based middle school trio Hayashi Ayumi, Morishima Otome, and Atsugi Itsuka have developed an increasing desire to become idols...\n\n(Source: wikia.com)'"
animeRelated	[b'Wake Up, Girls! Beyond the Bottom']
animeCharacters	[b'Shimada, Mayu', b'Okamoto, Miyu', b'Katayama, Minami', b'Nanase, Yoshino', b'Kikuma, Kaya', b'Hisami, Nanami', b'Hayashida, Airi', b'Atsugi, Itsuka', b'Hayashi, Ayumi', b'Morishima, Otome']
animeVoices	[b'\nYoshioka, Mayu\nJapanese\n', b'\nTakagi, Miyu\nJapanese\n', b'\nTanaka, Minami\nJapanese\n', b'\nAoyama, Yoshino\nJapanese\n', b'\nOkuno, Kaya\nJapanese\n', b'\nYamashita, Nanami\nJapanese\n', b'\nEino, Airi\nJapanese\n', b'\nAtsugi, Nanami\nJapanese\n', b'\nHayashi, Koko\nJapanese\n', b'\nMorishima, Yuuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuura, Hiroaki\n\nProducer\n\n', b'\nItagaki, Shin\n\nDirector, Episode Director, Storyboard, Layout, Key Animation\n\n', b'\nWake Up, Girls!\n\nTheme Song Performance\n\n', b'\nKousaki, Satoru\n\nMusic\n\n']
