animeTitle	30th Gundam Perfect Mission
animeType	OVA
animeNumEpisode	1
releaseDate	2009-08-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	3108
animeRank	
animePopularity	6372
animeDescription	"30th Gundam Perfect Mission is a short original video animation (OVA) officially released by Sunrise in celebration of the 30th anniversary of the Gundam metaseries. It features all the titular and mascot gundams of the main series in a non-cannon conjoint mission.

(Source: Gundam Wikia)"
animeRelated	['Mobile Suit Gundam']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
