animeTitle	Donten
animeType	Music
animeNumEpisode	1
releaseDate	2019-03-13 00:00:00
endDate	
animeNumMembers	184
animeScore	6.03
animeUsers	103
animeRank	8522
animePopularity	16356
animeDescription	"Music video directed by Tomoko Ooshima for the single Donten by Japanese idol group Shiritsu Ebisu Chuugaku. The song was included on their fifth studio album ""MUSiC"". A short version of the music video was posted on the groups' YouTube channel January 24, 2019. The full version was later uploaded March 13, 2019."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
