animeTitle	Ninja Box 3rd Season
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2020-03-26 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17894
animeDescription	"A new mini season of Ninja Box. They expand upon the random everyday encounters of the kids. According to the official YouTube channels, this is the ""season 3"" of the franchise and the episodes will have irregular release schedule."
animeRelated	['Ninja Box 2nd Season']
animeCharacters	['Tonkachi']
animeVoices	[]
animeStaff	[]
