animeTitle	Hoshikuzu Paradise
animeType	OVA
animeNumEpisode	1
releaseDate	1991-07-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	263
animeRank	
animePopularity	11896
animeDescription	"After his mother passed away, high school student Hiroshi Houshou's long lost father suddenly reappears, along with two new family members: a new mother who is also a famous actress, and her daughter, the popular and beautiful idol singer Rina Yuuki.

(Source: ANN)"
animeRelated	['Hoshikuzu Paradise']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
