animeTitle	b'Youtai Nuhai Zai Shanghai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Set mainly in and around the Shanghai Ghetto in Japanese-occupied Shanghai during the Second World War, the film tells the story of three children. \n\nRina and her younger brother Mishalli are Jewish refugees who escaped Europe but are without their parents. A-Gen is a Chinese boy who meets Rina and helps her and her brother to survive. \n\nThe children form strong friendships and have adventures as they try and fend off the Japanese army occupying the city, and their allies, the Nazis. In the background, the Second Sino-Japanese War takes place, while the children must face the uncertainty that concerns the fate of Rina and Mishalli's parents in Europe. \n\n(Source: AniDB)"""
animeRelated	[b'Youtai Nuhai Zai Shanghai 2: Xianglian Mima']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
