animeTitle	Hipira-kun ONA
animeType	ONA
animeNumEpisode	2
releaseDate	2010-04-07 00:00:00
endDate	
animeNumMembers	807
animeScore	5.73
animeUsers	386
animeRank	9650
animePopularity	11695
animeDescription	The phone-only episodes 11 & 12 of Hipira-kun.
animeRelated	['Hipira: The Little Vampire', 'Hipira-kun', 'Hipira-kun Special']
animeCharacters	['Soul-kun', 'Hipira']
animeVoices	['Ohara, Sayaka', 'Kobayashi, Yumiko']
animeStaff	[['Otomo, Katsuhiro', 'Original Creator'], ['Kimura, Shinji', 'Original Character Design']]
