animeTitle	Home!
animeType	ONA
animeNumEpisode	1
releaseDate	2021-03-26 00:00:00
endDate	
animeNumMembers	2550
animeScore	6.8
animeUsers	1103
animeRank	4620
animePopularity	8876
animeDescription	In the year 2124, Christopher is on a research expedition to Mars where he discovers a missing commercial vessel...
animeRelated	['Deliver Police: Nishitokyo-shi Deliver Keisatsutai', 'Hachimitsu Suicide Machine', 'Ryuusatsu no Kyoukotsu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
