animeTitle	Menkui!
animeType	OVA
animeNumEpisode	2
releaseDate	2011-05-27 00:00:00
endDate	2011-08-26 00:00:00
animeNumMembers	
animeScore	7.08
animeUsers	4283
animeRank	
animePopularity	5007
animeDescription	"A series of erotic short stories adapting the manga of the same name. In the first, the most gorgeous girl in class, who's guaranteed to turn every guy who asks her out down due to her high standards, meets a unusual man who may break that streak and become her boyfriend. In the second, a girl develops feelings for her childhood friend and tries to get him to notice her but it proves difficult because he has a rather large obsession with maids.

(Source: ANN)"
animeRelated	['Menkui!']
animeCharacters	['Ichijou, Manami', 'Shiido, Akina', 'Mitarai, Shou', 'Masaru', 'Reiko']
animeVoices	[]
animeStaff	[['Saeki, Shun', 'Original Character Design, Original Creator']]
