animeTitle	Shin Koihime†Musou: Live Revolution
animeType	OVA
animeNumEpisode	1
releaseDate	2010-03-17 00:00:00
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	1815
animeRank	
animePopularity	7018
animeDescription	Shin Koihime†Musou characters sing theme songs on stage at a live event.
animeRelated	['Shin Koihime†Musou']
animeCharacters	"[""Kan'u, Unchou"", 'Yokutoku, Chouhi', 'Shiryuu, Chouun', 'Mouki, Bachou', 'Koumei, Shokatsuryou', 'Ryuubi, Gentoku', 'Kanshou, Kouchuu']"
animeVoices	['Kurokawa, Nami', 'Nishizawa, Hiroka', 'Motoi, Emi', 'Kobayashi, Maki', 'Narumi, Erika', 'Gotou, Mai', 'Amamiya, Yuu']
animeStaff	[['Gotou, Mai', 'Theme Song Performance, Inserted Song Performance'], ['Nishizawa, Hiroka', 'Theme Song Performance, Inserted Song Performance'], ['Kurokawa, Nami', 'Theme Song Performance, Inserted Song Performance'], ['Kobayashi, Maki', 'Inserted Song Performance']]
