animeTitle	Haja Kyosei G Dangaiou
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	621
animeRank	
animePopularity	8761
animeDescription	"A mysterious explosion on Futagami Island begins a new chapter in the Dangaioh mythos! Led by the evil Professor Katou, a band of warriors calling themselves the ""Tartarus Knights"" have begun their campaign to lay waste to the world by way of a small research station on Futagami Island. Katou's victory seems almost certain until he encounters an advanced fortress guarding the island. From it, a group of three humanoid robots are launched—Dangaioh!

(Source: AniDB)"
animeRelated	['Haja Taisei Dangaiou']
animeCharacters	['Chidou, Hitomi', 'Manami, Mishio', 'Amagi, Kuya', 'Mia, Alice', 'Kazamaki, Chiho', 'Shima, Ryuko', 'Mori, Kozue', 'Tsukishiro, Kaori', 'Yamagata, Kasumi', 'Tamahara, Kyoko']
animeVoices	['Asano, Masumi', 'Kawasumi, Ayako', 'Suzuki, Chihiro', 'Shou, Mayumi', 'Katsuki, Masako', 'Yukino, Satsuki', 'Yamamoto, Maria', 'Mizuno, Manabi', 'Miura, Naoko']
animeStaff	[['Inoue, Hiroaki', 'Producer'], ['Hirano, Toshiki', 'Director, Original Creator'], ['Kameyama, Toshiki', 'Sound Director'], ['Hanyuu, Naoyasu', 'Episode Director']]
