animeTitle	Eigo de Utatte Asobou
animeType	Music
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16595
animeDescription	" A sing-a-long song anime featuring characters from the Sanrio franchise. These VHS releases are in English meant to teach the language to Japanese children. Each single VHS tape is composed of 4 ""volumes"" with a grand total of 24 songs; and a total of 4 VHS tapes were made. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
