animeTitle	Meitantei Conan: Zero no Tea Time
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15538
animeDescription	Anime adaptation of the spin-off manga Meitantei Conan: Zero no Tea Time that focuses on the life of the triple agent as he attempts to keep all his different roles in check.
animeRelated	['Meitantei Conan: Zero no Tea Time', 'Detective Conan']
animeCharacters	['Amuro, Tooru', 'Enomoto, Azusa', 'Vermouth', 'Camel, Andre', 'Enomoto, Sugihito', 'Kuriyama, Midori']
animeVoices	[]
animeStaff	[['Aoyama, Gosho', 'Original Creator'], ['Arai, Takahiro', 'Original Creator']]
