animeTitle	Baki: Most Evil Death Row Convicts Special Anime
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	4924
animeRank	
animePopularity	4865
animeDescription	"A 15-minute trailer bundled with the limited edition of 14th Baki-Dou manga volume. Despite being bundled with Baki-Dou, it will adapt part of the ""Most Evil Death Row Convicts"" arc from Baki: New Grappler Baki. The arc features underground ring fighters in the no-rules combat environment of death row convicts."
animeRelated	['Baki: New Grappler Baki', 'Baki']
animeCharacters	['Hanma, Baki', 'Hanayama, Kaoru', 'Biscuit, Oliva', 'Orochi, Doppo', 'Kaiou, Retsu', 'Doyle, Hector', 'Dorian', 'Shibukawa, Gouki', 'Speck', 'Orochi, Katsumi']
animeVoices	['Hatano, Wataru', 'Ishizuka, Unshou', 'Imaruoka, Atsushi', 'Sakuya, Shunsuke']
animeStaff	[['Takiguchi, Teiichi', 'Director, Character Design'], ['Hata, Shouji', 'Sound Director'], ['Itagaki, Keisuke', 'Original Creator'], ['Kasahara, Yoshihiro', 'Editing']]
