animeTitle	Shoujo Nosferatu
animeType	Movie
animeNumEpisode	1
releaseDate	2017-01-01 00:00:00
endDate	
animeNumMembers	88
animeScore	
animeUsers	
animeRank	13336
animePopularity	18129
animeDescription	"Graduate Work 2017 from Chinami Taniguchi, Tokyo University of the Arts, Graduate School of Film and New Media, Department of Animation.

The story of Nosferatu vampires glimpsed by a boy who gets lost in a forest.

(Source: Geidai Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
