animeTitle	Futago no Monchhichi
animeType	TV
animeNumEpisode	130
releaseDate	1980-02-04 00:00:00
endDate	1980-08-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14688
animeDescription	"Monchichi-chan, the twin sister, loves her twin brother very much. She is a crybaby and always follows her brother. Monchichi-kun, the twin brother, protects his sister. He is a brave adventurer and a fishing champion but sometimes becomes a hasty boy. They enjoy wonderful and mysterious adventures together everyday.

When they take a space walk, they ride on a swan of the swan constellation and build a small house with aliens in the space. They can do everything children want to do and dream of.
This heartwarming animation series featuring the pretty twins surely gives wonderful dreams, brother-sister love and hopes for the future to all the children in the world.

(Source: Production Reed)"
animeRelated	['Monchhichiisu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
