animeTitle	Butlers: Chitose Momotose Monogatari
animeType	TV
animeNumEpisode	12
releaseDate	2018-04-12 00:00:00
endDate	2018-06-28 00:00:00
animeNumMembers	
animeScore	5.64
animeUsers	4686
animeRank	
animePopularity	3801
animeDescription	"The anime centers on two protagonists. Koma Jinguji (Jay) is the smart and handsome student council president. His elegant smile captures the hearts of women. Tsubasa Hayakawa is a multi-talented and gentle shop assistant at a café. His cafe latte with owl latte art is very popular with female customers. The two men travel through time to fight their archenemy. The charming ""Butlers,"" as they are called, fight supernatural battles and also experience a slapstick comedic life at their academy.

(Source: ANN)"
animeRelated	['Butlers: Chitose Momotose Monogatari']
animeCharacters	['Jinguuji, Kouma', 'Hayakawa, Tsubasa', 'Kurosawa, Daichi', 'Aoba, Hotaru', 'Hizakura, Haruto', 'Fujishirou, Yuuki', 'Tachibana, Akira', 'Fujimura, Shino', 'Kitazono, Ayame', 'Higashino, Hinako']
animeVoices	['Suzuki, Tatsuhisa', 'Satou, Takuya', 'Yamashita, Seiichirou', 'Nagatsuka, Takuma', 'Toyonaga, Toshiyuki', 'KENN', 'Maeno, Tomoaki', 'Suzuki, Arisa', 'Wakui, Yuu', 'Shiraki, Nao']
animeStaff	[['Takahashi, Ken', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Misawa, Sachika', 'Theme Song Performance'], ['Re: OLDCODEX', 'Theme Song Performance']]
