animeTitle	The Snack World
animeType	Movie
animeNumEpisode	1
releaseDate	2015-12-19 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14576
animeDescription	The Snack World follows a ragtag group of friends who embark on an adventure together. They live in a land similar to traditional fantasy settings but with certain modern twists like cell phones and convenience stores.
animeRelated	['The Snack World (TV)', 'The Snack World: Hitogirai no Renny']
animeCharacters	['Mayone', 'Gob-san', 'Peperon', 'Chup']
animeVoices	['Taketatsu, Ayana', 'Miyazawa, Tadashi', 'Sugimura, Kenji', 'Han, Megumi']
animeStaff	[['Mori, Takeshi', 'Director'], ['Hino, Akihiro', 'Screenplay'], ['Nagano, Takuzou', 'Character Design'], ['Kondou, Rei', 'Music']]
