animeTitle	Fuwa Aoyun Manyouji
animeType	TV
animeNumEpisode	100
releaseDate	2007-01-01 00:00:00
endDate	2008-01-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15676
animeDescription	"The story takes place in a common Beijing household. Before the opening of the 29th Olympic Games in 2008, the 8-year-old boy Da You, received a birthday gift from his parents, the five Olympic mascots ""Fuwa."" 

Skillfully combined with humorous tales between Da You and the five mascots, the cartoon series introduces the history and trivia of the Olympics, as well as Chinese culture, and the preparation for the Beijing Olympics.

(Source: english.cri.cn)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
