animeTitle	b'Business Fish'
animeType	b'TV'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	320
animeRank	
animePopularity	
animeDescription	b'The anime features characters with human bodies and fish heads as office workers at an IT firm.'
animeRelated	[]
animeCharacters	[b'Uowaki, Tai', b'Ise, Ebika', b'Takoyama, Hachio', b'Umino, Fudou', b'Otohime, Mai']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nFunada, Akira\n\nProducer\n\n', b'\nSumida, Takashi\n\nDirector\n\n']
