animeTitle	b'D4DJ Petit Mix'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	1190
animeRank	
animePopularity	
animeDescription	b'Mini anime aired within the D4DJ variety program D4DJ Photon Maiden TV.'
animeRelated	[b'D4DJ: First Mix']
animeCharacters	[b'Yamate, Kyouko', b'Aimoto, Rinku', b'Oonaruto, Muni', b'Izumo, Saki', b'Togetsu, Rei', b'Inuyose, Shinobu', b'Miyake, Aoi', b'Aoyagi, Tsubaki', b'Fukushima, Noa', b'Hanamaki, Towa']
animeVoices	[b'\nTerakawa, Aimi\nJapanese\n', b'\nNishio, Yuuka\nJapanese\n', b'\nMimura, Haruka\nJapanese\n', b'\nTsumugi, Risa\nJapanese\n', b'\nShizaki, Kanon\nJapanese\n', b'\nTakagi, Miyu\nJapanese\n', b'\nTsunko\nJapanese\n', b'\nKatou, Rihona\nJapanese\n', b'\nSatou, Hinata\nJapanese\n', b'\nIwata, Haruki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyajima, Seiya\n\nDirector, Series Composition\n\n', b'\nKidani, Takaaki\n\nExecutive Producer, Planning\n\n']
