animeTitle	b'Uchuu Kazoku Carlvinson'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	841
animeRank	
animePopularity	
animeDescription	"b""When a motley band of traveling performers has a deep-space collision with another spacecraft, they find that the sole survivor of the other craft is a humanoid infant. They decide to raise the child as their own on the nearest planet as they wait for other members of the girl's race to come and find her.\n\n(Source: AniDB)"""
animeRelated	[b'Uchuu Kazoku Carlvinson']
animeCharacters	[b'Father', b'Mother', b'Corona', b'Beruka', b'Jisso', b'Andy', b'Ken', b'Jun-kun', b'Teacher', b'Sho-chan']
animeVoices	[b'\nGenda, Tesshou\nJapanese\n', b'\nFujita, Toshiko\nJapanese\n', b'\nShou, Mayumi\nJapanese\n', b'\nMizutani, Yuuko\nJapanese\n', b'\nKashiwakura, Tsutomu\nJapanese\n', b'\nMitsuya, Yuuji\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n', b'\nNakahara, Shigeru\nJapanese\n', b'\nTakamori, Yoshino\nJapanese\n', b'\nKitazawa, You\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiguro, Megumu\n\nProducer\n\n', b'\nYabuki, Kimio\n\nDirector\n\n', b'\nSaitou, Miwako\n\nTheme Song Performance, Theme Song Lyrics\n\n', b'\nWatanabe, Hiroya\n\nTheme Song Arrangement\n\n']
