animeTitle	b'Tistou Midori no Oyayubi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	116
animeRank	
animePopularity	
animeDescription	"b'When eight-year-old Tistou is sent home from school after being unable to stop falling asleep at lessons, his father decides that he will continue his education by learning from observation of real life, and where better to start than in the garden!\n\nWith the gardener Mr. Moustache, Tistou discovers he has a remarkable gift\xe2\x80\x94the green thumbs: everything he touches grows into beautiful plants. His next lesson is with the stern Mr. Turnbull, manager of his father\'s armament factory who takes Tistou to visit the town to learn about ""order.""\n\nOver the course of the next few days Tistou learns many new things as he visits the town prison, the slums, and the hospital, and everywhere he tries to change the world into a better place with his new extraordinary power. Finally, he learns about war, and upon visiting his father\'s factory, he finds out that they supply the two countries at war with their weapons...\n\n(Source: outsideinworld.org, edited)'"
animeRelated	[]
animeCharacters	[b'Tistou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKise, Kazuchika\n\nAnimation Director\n\n']
