animeTitle	b'Kowaremono The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	2810
animeRank	
animePopularity	
animeDescription	"b""Based on the manga by Yoshiron. \n\nA man's wife left him for another man, leaving him and her own daughter, Nanakura Kasumi, behind. Frustrated, one night he comes to his stepdaughter... \n\n(Source: AniDB)"""
animeRelated	[b'Kowaremono', b'Kowaremono: Risa The Animation']
animeCharacters	[b'Nanakura, Kasumi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOota, Hideta\n\nDirector\n\n', b'\nSawayama, Shinichiro\n\nScript\n\n', b'\nYoshiron\n\nOriginal Creator\n\n']
