animeTitle	b'Fate/Zero Remix'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	6894
animeRank	
animePopularity	
animeDescription	"b'Two recap specials titled ""Fate/Zero Remix I"" and ""Fate/Zero Remix II"" serve to summarize the first 13 episodes of Fate/Zero.'"
animeRelated	[b'Fate/Zero']
animeCharacters	[b'Saber', b'Emiya, Kiritsugu', b'Gilgamesh', b'Rider', b'Kotomine, Kirei', b'von Einzbern, Irisviel', b'Toosaka, Rin', b'von Einzbern, Illyasviel', b'Lancer', b'Velvet, Waver']
animeVoices	[b'\nKawasumi, Ayako\nJapanese\n', b'\nKoyama, Rikiya\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nType-Moon\n\nOriginal Creator\n\n']
