animeTitle	b'Boku no Son Gokuu'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	147
animeRank	
animePopularity	
animeDescription	b'Son-Goku is a monkey who was born from a stone and is endowed with magical powers. He gets carried away and goes on a rampage until at last Buddha confines him within Mt. Gogyo. Saved by Sanzohoshi, Son-Goku accompanies him on a journey to India. But on their way, monsters lie in wait for them.\n\n(Source: BakaBT)'
animeRelated	[b'Gokuu no Daibouken', b'Saiyuuki', b'Saiyuuki: Son Gokuu Monogatari', b'Tezuka Osamu Monogatari: Boku wa Son Gokuu', b'Son Gokuu Silk Road wo Tobu!!', b'Son Gokuu no Hi no Youjin', b'Son O-gong gwa Byeoldeul-ui Jeonjaeng']
animeCharacters	[b'Son, Gokuu']
animeVoices	[b'\nYuuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSugino, Akio\n\nDirector, Animation Director\n\n', b'\nYoshimura, Fumihiro\n\nDirector\n\n', b'\nKobayashi, Katsuyoshi\n\nSound Director\n\n', b'\nYumemakura, Baku\n\nScript\n\n']
