animeTitle	b'Cross Fight B-Daman eS'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	1311
animeRank	
animePopularity	
animeDescription	b'The anime takes place in Crest Land, where the mysterious B-Crystal has started to go berserk. The main protagonist Godai Kamon lives in the south area of Crest Land, and is an energetic boy who loves B-Daman. However, he lost his all past memories of B-Daman and his family, except for his big sister Aona who lives with him. One day, Kamon meets Galvan, a B-Daman at his local B-Daman shop, B-Junk, and he finds Galvan strangely familiar. Galvan becomes his partner, and he returns to the B-Daman battles once again. \n\n(Source: ANN) '
animeRelated	[b'Cross Fight B-Daman']
animeCharacters	[b'Ryugasaki, Kakeru', b'Shirogane, Subaru', b'Godai, Kamon', b'Homura, Naoya', b'Shiranui, Byakuga', b'Inaba, Natsumi', b'Dravise', b'Samejima, Kaito', b'Tsukiwa, Goichiro', b'Katsumiya, Shumon']
animeVoices	[b'\nOohara, Momoko\nJapanese\n', b'\nKokuryu, Sachi\nJapanese\n', b'\nTakumi, Yasuaki\nJapanese\n', b'\nSuzuki, Chihiro\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n', b'\nTakamoto, Megumi\nJapanese\n', b'\nTakeuchi, Ryouta\nJapanese\n', b'\nTakahashi, Meguru\nJapanese\n', b'\nSuyama, Akio\nJapanese\n', b'\nAizawa, Mai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOdaka, Yoshinori\n\nDirector\n\n', b'\nMasuda, Toshihiko\n\nAnimation Director\n\n', b'\nImaizumi, Yuuichi\n\nSound Manager\n\n', b'\nIshihara, Ikurou\n\nMechanical Design\n\n']
