animeTitle	Baka to Test to Shoukanjuu Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	20830
animeRank	
animePopularity	2621
animeDescription	The candid shots of Muttsurini's female and male classmates that fund his surveillance habits.
animeRelated	['Baka to Test to Shoukanjuu']
animeCharacters	['Kinoshita, Hideyoshi', 'Yoshii, Akihisa', 'Tsuchiya, Kouta', 'Shimada, Minami', 'Himeji, Mizuki', 'Kirishima, Shouko', 'Sakamoto, Yuuji', 'Kudou, Aiko', 'Kinoshita, Yuuko', 'Kubo, Toshimitsu']
animeVoices	['Katou, Emiri', 'Shimono, Hiro', 'Miyata, Kouki', 'Mizuhashi, Kaori', 'Harada, Hitomi', 'Isomura, Tomomi', 'Suzuki, Tatsuhisa', 'Nanjou, Yoshino', 'Terashima, Takuma']
animeStaff	[['Inoue, Kenji', 'Original Creator'], ['Haga, Yui', 'Original Character Design'], ['Ooshima, Miwa', 'Character Design']]
