animeTitle	b'Crescent Rise'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	491
animeRank	
animePopularity	
animeDescription	"b""Official music video for TRIGGER's song Crescent Rise."""
animeRelated	[b'Leopard Eyes', b'IDOLiSH7', b'Daybreak Interlude']
animeCharacters	[b'Kujou, Ten', b'Yaotome, Gaku', b'Tsunashi, Ryuunosuke']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTanemura, Arina\n\nOriginal Character Design\n\n']
