animeTitle	Chobitto Zukan
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15275
animeDescription	"Based on a picture book series launched in 2006 about creatures that are neither insects nor plants. 

(Source: ANN)"
animeRelated	['MAFF x Chobitto Zukan']
animeCharacters	['Kakuremomojiri']
animeVoices	['Shimamoto, Sumi']
animeStaff	[['Kanzaki, Jun', 'Director'], ['Adachi, Motoichi', 'Script'], ['Furuya, Yuuji', 'Sound Effects']]
