animeTitle	Tsumamareru Koma
animeType	Movie
animeNumEpisode	1
releaseDate	2015-01-01 00:00:00
endDate	
animeNumMembers	136
animeScore	
animeUsers	
animeRank	13960
animePopularity	17259
animeDescription	"Almost everyone in our contemporary society is picked up and moved around by someone or something, like in a game of Sugoroku. Those who first do so are our parents. 

We follow a boy who grows up along on Sugoroku board, during which he depends on his parents. His family play the parts of roles in the game - his father rolling the die, and his mother picking him up and placing him he passively goes about his way. But for how long will he let this continue?

(Source: YouTube)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
