animeTitle	Zoo: Hidamari no Shi
animeType	Movie
animeNumEpisode	1
releaseDate	2005-03-19 00:00:00
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	203
animeRank	
animePopularity	12600
animeDescription	A man makes a robot girl and tries to teach her the aspects of daily life. But what is his real goal?
animeRelated	[]
animeCharacters	['Man', 'Girl']
animeVoices	['Ryuu, Suwaru', 'Suzuki, Kasumi']
animeStaff	[['Mizusaki, Junpei', 'Director'], ['Furuya, Usamaru', 'Script, Storyboard, Character Design'], ['Otsuichi', 'Original Creator'], ['Midorikawa, Tooru', 'Music']]
